Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Mã vật tư,Tên vật tư,Đvt 1,Số lượng (1),HSQĐ,Đvt 2,Số lượng (2),Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2404-0062,4/18/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-EMPP-MF
HAT-UV881C
HAT-EMMV8C",5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,10,4.2,KG,42,SO2404-0025 - ECL,,4/22/2024
EP2402-0038,2/26/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm
Ống nhựa PVC D12mm, dày 2mm, màu trắng trong; TL: 100g/m [Ống nhựa cứng]",5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,12,4.2,KG,50.4,SO2402-0033 - ECL,,3/2/2024
EP2403-0044,3/14/2024,Nguyễn Dũng Trung,Theo bộ phận,ECL + AGRIFEED + 48MFM + 66MFM + SANMIGUEL,5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,14,4.2,KG,58.8,SO2403-0029 - ECL,,3/19/2024
EP2310-0044,10/12/2023,Nguyễn Dũng Trung,Theo bộ phận,ỐNG GIẤY - ECL,5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,14,4.2,KG,58.8,SO2310-0024 - ECL,,10/18/2023
EP2308-0049,8/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"SANMIGUEL
HARVEST
GFI
INTER VN",5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",ONG,15,4,KG,60,SO2303-0029 - SANMIGUEL,,8/18/2023
EP2308-0049,8/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"SANMIGUEL
HARVEST
GFI
INTER VN",5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",ONG,30,4,KG,120,SO2303-0029 - SANMIGUEL,,10/2/2023
EP2308-0049,8/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"SANMIGUEL
HARVEST
GFI
INTER VN",5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",ONG,30,4,KG,120,SO2303-0029 - SANMIGUEL,,10/16/2023
EP2306-0024,6/7/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0047 - Sanmiguel,5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",ONG,80,4.305,KG,344.4,SO2305-0047,,6/9/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",ONG,50,4.305,KG,215.25,SO2307-0006 - SANMIGUEL,,7/10/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",ONG,50,4.305,KG,215.25,SO2307-0006 - SANMIGUEL,,7/17/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",ONG,50,4.305,KG,215.25,SO2307-0006 - SANMIGUEL,,7/24/2023
EP2404-0008,4/2/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy Sanmiguel,5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",ONG,75,4.30507,KG,322.88,SO2403-0042 - SANMIGUEL,,6/1/2024
EP2404-0008,4/2/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy Sanmiguel,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,350,4.445,KG,1555.75,SO2403-0042 - SANMIGUEL,,4/6/2024
EP2404-0008,4/2/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy Sanmiguel,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,350,4.445,KG,1555.75,SO2403-0042 - SANMIGUEL,,4/22/2024
EP2404-0008,4/2/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy Sanmiguel,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,350,4.445,KG,1555.75,SO2403-0042 - SANMIGUEL,,5/4/2024
EP2404-0008,4/2/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy Sanmiguel,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,380,4.445,KG,1689.1,SO2403-0042 - SANMIGUEL,,5/10/2024
EP2403-0044,3/14/2024,Nguyễn Dũng Trung,Theo bộ phận,ECL + AGRIFEED + 48MFM + 66MFM + SANMIGUEL,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,85,4.44506,KG,377.83,SO2403-0007 - SANMIGUEL,,3/19/2024
EP2311-0005,11/2/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2310-0034 - MEKONG
SO2310-0054 - HARVEST
SO2310-0033 - SANMIGUEL",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,350,4.445,KG,1555.75,SO2310-0033 - SANMIGUEL,,11/8/2023
EP2311-0005,11/2/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2310-0034 - MEKONG
SO2310-0054 - HARVEST
SO2310-0033 - SANMIGUEL",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,360,4.445,KG,1600.2,SO2310-0033 - SANMIGUEL,,11/22/2023
EP2401-0031,1/11/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2312-0057 - SANMIGUEL
SO2401-0028 - THIÊN ÂN
SO2401-0004 - HALSTON
SO2401-0011 - SANPOLY
SO2401-0012 - SANPOLY",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,400,4.445,KG,1778,SO2312-0057 - SANMIGUEL,,1/15/2024
EP2401-0031,1/11/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2312-0057 - SANMIGUEL
SO2401-0028 - THIÊN ÂN
SO2401-0004 - HALSTON
SO2401-0011 - SANPOLY
SO2401-0012 - SANPOLY",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,360,4.445,KG,1600.2,SO2312-0057 - SANMIGUEL,,2/19/2024
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,180,4.445,KG,800.1,SO2307-0006 - SANMIGUEL,,8/2/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2307-0006 - SANMIGUEL,,7/24/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,105,4.445,KG,466.725,SO2305-0047 - SANMIGUEL,,7/10/2023
EP2307-0011,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0006 - SANMIGUEL,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2307-0006 - SANMIGUEL,,7/17/2023
EP2305-0123,5/30/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0043	Sanmiguel
Ông giấy",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,80,4.445,KG,355.6,SO2305-0043,,7/5/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,150,4.445,KG,666.75,SO2305-0021,,5/17/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,5/24/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,6/7/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,6/14/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,6/21/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,6/28/2023
EP2305-0038,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,"Sanmiguel - SO2305-0021
830 cuộn - 83 cuộn (KHTK tồn MP2305-0004)",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2305-0021,,7/5/2023
EP2305-0017,5/8/2023,Lê Quang Minh,Theo bộ phận,Mua ống giấy mới cho đơn hàng SAN MIGUEL dệt tồn khổ 127cm.,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,130,4.445,KG,577.85,,,
EP2308-0071,8/21/2023,Nguyễn Dũng Trung,Theo bộ phận,ECL - HALSTON,5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,6,4.445,KG,26.67,,,8/24/2023
EP2310-0047,10/13/2023,Nguyễn Dũng Trung,Theo bộ phận,"ỐNG GIẤY
SO2310-0003 - SANMIGUEL",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,100,4.445,KG,444.5,SO2310-0003 - SANMIGUEL,,10/23/2023
EP2407-0032,7/9/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
[SMY] Ống giấy dài 127cm (+1)
HAT-TACKS-JB
Chỉ may PP 600D
Chỉ may PP 1200D
Pallet gỗ xuất khẩu
Hạt màu xanh",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,995,4.44501,KG,4422.78,SO2406-0041,,7/17/2024
EP2407-0009,7/3/2024,Nguyễn Dũng Trung,Theo bộ phận,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,165,4.44503,KG,733.43,SO2403-0007,,7/9/2024
EP2406-0094,6/28/2024,Nguyễn Dũng Trung,Theo bộ phận,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,170,4.445,KG,755.65,SO2403-0007,,7/2/2024
EP2406-0085,6/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2406-0028
SO2406-0038
TỒN KHO
SO2406-0050",5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",ONG,110,4.445,KG,488.95,SO2406-0050,,7/2/2024
EP2312-0047,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2312-0029 - TAMATRA-US,5200100157000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 99.0cm (+1.0), F(Min) = 270kgF/100mm.",ONG,20,3.168,KG,63.36,SO2312-0029 - TAMATRA-US,,12/20/2023
EP2305-0047,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,Tamatra-US - SO2305-0022,5200100166000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 125.0cm (+1.0), F(Min) = 270kgF/100mm.",ONG,20,4,KG,80,SO2305-0022,,5/18/2023
EP2307-0013,7/5/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2307-0007 - TAMATRA-US,5200100166000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 125.0cm (+1.0), F(Min) = 270kgF/100mm.",ONG,60,4,KG,240,SO2307-0007,,7/8/2023
EP2305-0047,5/12/2023,Nguyễn Dũng Trung,Theo bộ phận,Tamatra-US - SO2305-0022,5200100167000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 115.0cm (+1.0), F(Min) = 270kgF/100mm.",ONG,70,3.68,KG,257.6,SO2305-0022,,5/18/2023
EP2308-0043,8/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2307-0075 - DONGWON - ĐẶT SLCL
SO2308-0021 - KIỀU VĂN LỊCH",5200101380000000,"[ĐA] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 96cm (+1), độ bền nén: >=270kgF/100mm.",ONG,60,3.36,KG,201.6,SO2308-0021 - KIỀU VĂN LỊCH,,8/22/2023
EP2308-0091,8/25/2023,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,,,8/29/2023
EP2308-0008,8/1/2023,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,,,8/4/2023
EP2310-0071,10/19/2023,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ dài trên 135cm.,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,TỒN KHO,,10/23/2023
EP2309-0087,9/22/2023,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,,,9/25/2023
EP2305-0007,5/3/2023,Nguyễn Dũng Trung,Theo bộ phận,Kế hoạch nguyên vật liệu tháng 05,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2800,1,KG,2800,,,
EP2312-0024,12/8/2023,Nguyễn Dũng Trung,Theo bộ phận,ỐNG GIẤY CŨ,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,3000,1,KG,3000,TỒN KHO,,12/12/2023
EP2311-0030,11/13/2023,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ dài trên 135cm.,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,,,11/15/2023
EP2401-0031,1/11/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2312-0057 - SANMIGUEL
SO2401-0028 - THIÊN ÂN
SO2401-0004 - HALSTON
SO2401-0011 - SANPOLY
SO2401-0012 - SANPOLY",5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,TỒN KHO,,1/15/2024
EP2312-0065,12/20/2023,Nguyễn Dũng Trung,Theo bộ phận,ỐNG GIẤY,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,TỒN KHO,,12/25/2023
EP2403-0081,3/25/2024,Nguyễn Dũng Trung,Theo bộ phận,TỒN KHO,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,2000,1,KG,2000,TỒN KHO,,3/28/2024
EP2405-0039,5/14/2024,Nguyễn Dũng Trung,Theo bộ phận,Ống giấy cũ dài trên 135cm.,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,3000,1,KG,3000,TỒN KHO,,5/17/2024
EP2407-0027,7/8/2024,Nguyễn Dũng Trung,Theo bộ phận,"Ống giấy cũ dài trên 135cm
Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái
Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái",5200101410000000,Ống giấy cũ dài trên 135cm.,KG,3000,1,KG,3000,TỒN KHO,,7/10/2024
EP2406-0023,6/10/2024,Nguyễn Dũng Trung,Theo bộ phận,"Ống giấy cũ dài trên 135cm.
Chỉ may PP 900D, màu trắng không tẩy
Hạt phụ gia MV8C (Châu Âu)
Hạt nhựa PP M9600
Pallet gỗ 1.1m",5200101410000000,Ống giấy cũ dài trên 135cm.,KG,3000,1,KG,3000,TỒN KHO,,6/12/2024
EP2304-0069,4/19/2023,,Theo bộ phận,Mua ống giấy cũ sử dụng cuối tháng 04 và đầu tháng 05,5200101410000000,Ống giấy cũ dài trên 135cm.,KG,5,1,KG,5,,,4/25/2023
EP2408-0009,8/5/2024,Nguyễn Dũng Trung,Theo bộ phận,"Ống giấy cũ dài trên 135cm.
Hạt taical thổi HDPE IF-PE114C7 (Đại Á)",5200101410000000,Ống giấy cũ dài trên 135cm.,KG,3000,1,KG,3000,TỒN KHO,,8/7/2024
EP2305-0001,5/3/2023,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0906102094000000,Nối nhựa PVC BM 42 giảm 27.,CAI,2,1,CAI,2,,,
EP2305-0001,5/3/2023,Nguyễn Dũng Trung,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0906101020000000,Nối nhựa PVC 34 giảm 27,CAI,4,1,CAI,4,,,
EP2401-0127,1/31/2024,Hoàng Văn Khiêm,Theo bộ phận,"MUA VẬT TƯ LÀM NHÀ RÁC THẢI NGUY HẠI VÀ KHUÔN VIÊN , MÁI CHE X7",0906101020000000,Nối nhựa PVC 34 giảm 27,CAI,5,1,CAI,5,,,1/31/2024
EP2401-0091,1/24/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật tư làm đường cung cấp nước giếng tưới cây,0906101020000000,Nối nhựa PVC 34 giảm 27,CAI,8,1,CAI,8,,,1/25/2024
EP2401-0091,1/24/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật tư làm đường cung cấp nước giếng tưới cây,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,1,1,LON,1,,,1/25/2024
EP2305-0001,5/3/2023,Nguyễn Dũng Trung,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,1,1,LON,1,,,
EP2306-0058,6/21/2023,Đặng Thị Mỹ Hạnh,Theo bộ phận,Đề xuât mua vật tư sữa chữa nhà vệ sinh,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,1,1,LON,1,,,6/24/2023
EP2306-0079,6/22/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng lắp đặt đường nước và khí nén máy sợi 2,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,2,1,LON,2,,Lắp đặt đường nước và khí nén máy sợi 2,7/10/2023
EP2306-0081,6/22/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng bảo trì sửa chữa MMTB hằng ngày của PKT,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,1,1,LON,1,,Bảo trì sửa chữa MMTB hằng ngày,6/27/2023
EP2309-0059,9/16/2023,Hà Mạnh Hùng,Theo bộ phận,Vật  tư làm lắp đường nước giải nhiệt cho máy Thổi 02.,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,2,1,LON,2,,"Dự án lắp đặt,",9/20/2023
EP2309-0057,9/15/2023,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư lắp dặt chậu rửa cho bếp,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,1,1,LON,1,,Lắp chậu rửa bếp,9/16/2023
EP2308-0064,8/18/2023,Hoàng Văn Khiêm,Theo bộ phận,Vật tư làm đường nước sinh hoạt,0923700040000000,Keo dán ống nhựa PVC BM - 0.5kg.,LON,2,1,LON,2,,,
EP2305-0001,5/3/2023,Nguyễn Dũng Trung,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0903900430000000,Van nhựa PVC BM phi 27.,CAI,4,1,CAI,4,,,
EP2401-0091,1/24/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật tư làm đường cung cấp nước giếng tưới cây,0903900430000000,Van nhựa PVC BM phi 27.,CAI,7,1,CAI,7,,,1/25/2024
EP2403-0099,3/29/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư Lắp đặt bồn rửa tay Và Giặt khăn và xây dựng ( làm cho anh Vũ),0903900430000000,Van nhựa PVC BM phi 27.,CAI,10,1,CAI,10,Tay gạt inox,,3/30/2024
EP2305-0001,5/3/2023,Nguyễn Dũng Trung,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0907000020000000,Rắc co nhựa PVC BM phi 27.,CAI,2,1,CAI,2,,,
EP2304-0018,4/6/2023,,Theo bộ phận,Vật tư lắp đặt đường nén khí cho máy dệt xưởng 1 và vật tư sửa chữa xe nâng.,0907000020000000,Rắc co nhựa PVC BM phi 27.,CAI,10,1,CAI,10,,,4/11/2023
EP2305-0001,5/3/2023,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0906100290000000,Nối nhựa PVC 1 đầu ren ngoài 34 - 1 đâug ống 34.,CAI,2,1,CAI,2,,,
EP2312-0078,12/26/2023,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế sửa chữa máy móc thiết bị phục vụ sản xuất của phòng kỹ thuật.,0906100290000000,Nối nhựa PVC 1 đầu ren ngoài 34 - 1 đâug ống 34.,CAI,6,1,CAI,6,,,1/1/2024
EP2312-0078,12/26/2023,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế sửa chữa máy móc thiết bị phục vụ sản xuất của phòng kỹ thuật.,0906100300000000,Nối nhựa PVC ren ngoài phi 42 - ống 42,CAI,8,1,CAI,8,,,1/1/2024
EP2305-0001,5/3/2023,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng lắp đặt bơm nước văn phòng mới.,0906100300000000,Nối nhựa PVC ren ngoài phi 42 - ống 42,CAI,2,1,CAI,2,,,
EP2308-0051,8/15/2023,Hà Mạnh Hùng,Theo bộ phận,"Vật tư lắp đặt bơm tăng áp nước cho văn phòng mới,",0906100300000000,Nối nhựa PVC ren ngoài phi 42 - ống 42,CAI,10,1,CAI,10,,,
EP2305-0063,5/16/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0011	DONGWON
Chỉ may polyester 210/3, màu trắng",040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,200,1,KG,200,SO2305-0011,,6/9/2023
EP2306-0097,6/27/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2",040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,11,1,KG,11,SO2306-0037 - DONGWON PO3,,7/1/2023
EP2306-0097,6/27/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2",040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,2,1,KG,2,SO2306-0015 - DONGWON PO2,,7/1/2023
EP2405-0014,5/6/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%
Hạt nhựa TPP: FL7632L, Hạt L6000N ...
Hạt nhựa HDPE thổi hấ",040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,100,1,KG,100,,,5/7/2024
