Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Bộ phận,Đơn hàng/Hợp đồng mua,Lệnh sản xuất,Công việc,Công đoạn,Mã trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACALUI055105125114TRDU,"Cuộn PP, màu trắng đuc, dệt 1x1, K55cm (+/-0.5), MĐ: 10.5x12.5, TL: 113.85g/m (103.5gsm).",KCU001,M,350.1,KG,2995,0,0,15514,15414,CTY00001,,,,LSX12/24-069,Công đoạn dệt,VAICUON,,TPH055090G108TDLU.XXX,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACALUI055105125114TRDU,"Cuộn PP, màu trắng đuc, dệt 1x1, K55cm (+/-0.5), MĐ: 10.5x12.5, TL: 113.85g/m (103.5gsm).",KCU001,M,330.2,KG,2950,0,0,15514,15414,CTY00001,,,,LSX12/24-069,Công đoạn dệt,VAICUON,,TPH055090G108TDLU.XXX,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACALUI055105125114TRDU,"Cuộn PP, màu trắng đuc, dệt 1x1, K55cm (+/-0.5), MĐ: 10.5x12.5, TL: 113.85g/m (103.5gsm).",KCU001,M,350.1,KG,3000,0,0,15514,15414,CTY00001,,,,LSX12/24-069,Công đoạn dệt,VAICUON,,TPH055090G108TDLU.XXX,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAMFM485100120089TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 89g/m.",KCU001,M,271.7,KG,3062,0,0,15514,15414,CTY00001,,,,LSX12/24-080,Công đoạn dệt,VAICUON,,TPH485XXXTDMFM.XXXX,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAMFM660110120110TRDU,"Vải cuộn PP, trắng đục, K66.0cm, MĐ: 11.0x12.0, TL: 110g/m. [MFM66, 850D]",KCU001,M,285.5,KG,2550,0,0,15514,15414,CTY00001,,,,LSX12/24-086,Công đoạn dệt,VAICUON,,TPH066XXXTDMFM.850D,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAMFM660110120110TRDU,"Vải cuộn PP, trắng đục, K66.0cm, MĐ: 11.0x12.0, TL: 110g/m. [MFM66, 850D]",KCU001,M,278.2,KG,2550,0,0,15514,15414,CTY00001,,,,LSX12/24-086,Công đoạn dệt,VAICUON,,TPH066XXXTDMFM.850D,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAMFM660110120110TRDU,"Vải cuộn PP, trắng đục, K66.0cm, MĐ: 11.0x12.0, TL: 110g/m. [MFM66, 850D]",KCU001,M,282.5,KG,2569,0,0,15514,15414,CTY00001,,,,LSX12/24-086,Công đoạn dệt,VAICUON,,TPH066XXXTDMFM.850D,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAPRE500102112084TRDU,"Cuộn PP, trắng đục, K50cm(+1/-0.5), MĐ: 10.2.0x11.2, TL: 84.5g/m",KCU001,M,251.2,KG,3040,0,0,15514,15414,CTY00001,,,,LSX11/24-013,Công đoạn dệt,VAICUON,,0119124001002000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAPRE560100110084TRDU,"Cuộn PP, trắng đục, K56cm(+1/-0.5), MĐ: 10.0x11.0, TL: 84.5g/m.",KCU001,M,256.2,KG,3020,0,0,15515,15414,CTY00001,,,,LSX10/24-072,Công đoạn dệt,VAICUON,,0119124004004000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAPRE710110110110TR50,"Cuộn PP, trắng đục, K71cm(+1/-0.5), MĐ: 11.0x11.0, TL: 110g/m(+/-3.3) (500N).",KCU001,M,337.5,KG,3015,0,0,15514,15414,CTY00001,,,,LSX12/24-044,Công đoạn dệt,VAICUON,,0119124006000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAPRE710110110110TR50,"Cuộn PP, trắng đục, K71cm(+1/-0.5), MĐ: 11.0x11.0, TL: 110g/m(+/-3.3) (500N).",KCU001,M,322,KG,2965,0,0,15514,15414,CTY00001,,,,LSX12/24-044,Công đoạn dệt,VAICUON,,0119124006000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACASAR500102112084TRDU,"Cuộn PP, trắng đục, K50cm(+1/-0.5), MĐ: 10.2.0x11.2, TL: 84.5g/m",KCU001,M,248.2,KG,3020,0,0,15514,15414,CTY00001,,,,LSX12/24-030,Công đoạn dệt,VAICUON,,TPH050076TDSAR.BLHOCK,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAUNP176120122528TRDU,"Vải cuộn PP trắng đục, K176.0cm, MĐ: 12x12.2, TL: 528.5g/m.",KCU001,M,426,KG,790,0,0,15514,15414,CTY00001,,,,LSX12/24-047,Công đoạn dệt,VAICUON,,0119132018001000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAUNP176120122528TRDU,"Vải cuộn PP trắng đục, K176.0cm, MĐ: 12x12.2, TL: 528.5g/m.",KCU001,M,419,KG,804,0,0,15514,15414,CTY00001,,,,LSX12/24-047,Công đoạn dệt,VAICUON,,0119132018001000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAUNP176120122528TRDU,"Vải cuộn PP trắng đục, K176.0cm, MĐ: 12x12.2, TL: 528.5g/m.",KCU001,M,416,KG,800,0,0,15514,15414,CTY00001,,,,LSX12/24-047,Công đoạn dệt,VAICUON,,0119132018001000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAUNP178120130694TRDU,"Vải cuộn PP, K178.8cm, MĐ: 12.0x13.0, TL: 694g/m. [UNP-200gsm]",KCU001,M,466,KG,640,0,0,15514,15414,CTY00001,,,,LSX12/24-059,Công đoạn dệt,VAICUON,,0119132005002000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACAUNP178120130694TRDU,"Vải cuộn PP, K178.8cm, MĐ: 12.0x13.0, TL: 694g/m. [UNP-200gsm]",KCU001,M,472.5,KG,640,0,0,15514,15414,CTY00001,,,,LSX12/24-059,Công đoạn dệt,VAICUON,,0119132005002000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUASI115130130202TRDU,"Vải manh PP trắng đục K.115.0cm; MĐ: 13.0x13.0, gia cường 2 điểm 3cm ngay chính giữa ID, ID định vị màu begie: 40-35-40; TL: 202.0g/m",KCU001,M,252,KG,1200,0,0,15514,15414,CTY00001,,,,LSX12/24-049,Công đoạn dệt,VAICUON,,01JBO-4P009-01-0000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUASI115130130202TRDU,"Vải manh PP trắng đục K.115.0cm; MĐ: 13.0x13.0, gia cường 2 điểm 3cm ngay chính giữa ID, ID định vị màu begie: 40-35-40; TL: 202.0g/m",KCU001,M,248,KG,1200,0,0,15514,15414,CTY00001,,,,LSX12/24-049,Công đoạn dệt,VAICUON,,01JBO-4P009-01-0000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL580090080081TRDU,"Cuộn PP dệt lòng PE, trắng đục, K58.0cm, TL: 81.8g/m. [TL PP+PE: 111.5g/m]",KCU001,M,318,KG,2993,0,0,15514,15414,CTY00001,,,,LSX12/24-064,Công đoạn dệt,VAICUON,,HAPHAL057115TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL580090080081TRDU,"Cuộn PP dệt lòng PE, trắng đục, K58.0cm, TL: 81.8g/m. [TL PP+PE: 111.5g/m]",KCU001,M,319,KG,3000,0,0,15514,15414,CTY00001,,,,LSX12/24-064,Công đoạn dệt,VAICUON,,HAPHAL057115TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,296.5,KG,2954,0,0,15514,15414,CTY00001,,,,LSX12/24-042,Công đoạn dệt,VAICUON,,0102109030000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,305.5,KG,2982,0,0,15514,15414,CTY00001,,,,LSX12/24-042,Công đoạn dệt,VAICUON,,0102109030000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,298,KG,2967,0,0,15514,15414,CTY00001,,,,LSX12/24-042,Công đoạn dệt,VAICUON,,0102109030000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUHAL595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,291.5,KG,2967,0,0,15514,15414,CTY00001,,,,LSX12/24-042,Công đoạn dệt,VAICUON,,0102109030000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUPER400100130340XD00,"Cuộn MANH PP, XANH DƯƠNG 2195C, K400cm, 10.0x13.0, TL: 340.0g/m. [85gsm] [ID 3 đỏ 2 xanh cách biên 4cm cả bên của manh]",KCU001,M,63,KG,202,0,0,15514,15414,CTY00001,,,,LSX09/24-049,Công đoạn dệt,VAICUON,,0102123056000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUPER400100130340XD00,"Cuộn MANH PP, XANH DƯƠNG 2195C, K400cm, 10.0x13.0, TL: 340.0g/m. [85gsm] [ID 3 đỏ 2 xanh cách biên 4cm cả bên của manh]",KCU001,M,61.5,KG,202,0,0,15514,15414,CTY00001,,,,LSX09/24-049,Công đoạn dệt,VAICUON,,0102123056000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUPER400100130340XD00,"Cuộn MANH PP, XANH DƯƠNG 2195C, K400cm, 10.0x13.0, TL: 340.0g/m. [85gsm] [ID 3 đỏ 2 xanh cách biên 4cm cả bên của manh]",KCU001,M,61.5,KG,202,0,0,15514,15414,CTY00001,,,,LSX09/24-049,Công đoạn dệt,VAICUON,,0102123056000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUPER400100130340XD00,"Cuộn MANH PP, XANH DƯƠNG 2195C, K400cm, 10.0x13.0, TL: 340.0g/m. [85gsm] [ID 3 đỏ 2 xanh cách biên 4cm cả bên của manh]",KCU001,M,61,KG,202,0,0,15514,15414,CTY00001,,,,LSX09/24-049,Công đoạn dệt,VAICUON,,0102123056000000,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUSAN595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,288.5,KG,2925,0,0,15514,15414,CTY00001,,,,LSX11/24-061,Công đoạn dệt,VAICUON,,HAPSAN585099TRTR,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUSAN595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,283,KG,2927,0,0,15514,15414,CTY00001,,,,LSX11/24-061,Công đoạn dệt,VAICUON,,HAPSAN585099TRTR,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUSAN595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,285.5,KG,2943,0,0,15514,15414,CTY00001,,,,LSX11/24-061,Công đoạn dệt,VAICUON,,HAPSAN585099TRTR,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUSAN595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",KCU001,M,287,KG,2960,0,0,15514,15414,CTY00001,,,,LSX11/24-061,Công đoạn dệt,VAICUON,,HAPSAN585099TRTR,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUSPL510100120086TRDU,"Vải cuộn PP, trắng đục, K51.0cm, MĐ: 10x11.5/12, 880D, 2.55mm, TL: 86g/m [3000m/cuộn].",KCU001,M,262.5,KG,3060,0,0,15514,15414,CTY00001,,,,LSX01/25-015,Công đoạn dệt,VAICUON,,THACUSPL510100120086TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,444,KG,6000,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,444,KG,6000,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,445,KG,6030,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,444,KG,6030,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,445,KG,6014,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,448.5,KG,6014,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,455,KG,6027,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,456,KG,6027,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,454.5,KG,6050,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-002,Nhập báo cáo dệt ngày 02/01/2025,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",KCU001,M,454,KG,6050,0,0,15514,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2155
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,15,KG,15,0,0,1527,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,3,KG,3,0,0,1527,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,20,KG,20,0,0,1527,15412,CTY00001,,,,LSX12/24-069,Công đoạn tạo sợi,SOI,,TPH055090G108TDLU.XXX,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,8,KG,8,0,0,1527,15412,CTY00001,,,,LSX12/24-069,Công đoạn tạo sợi,SOI,,TPH055090G108TDLU.XXX,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,7,KG,7,0,0,1527,15412,CTY00001,,,,LSX12/24-082,Công đoạn tạo sợi,SOI,,0119109032000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,46,KG,46,0,0,1527,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,20,KG,20,0,0,1527,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,5,KG,5,0,0,1527,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,275,KG,275,0,0,1527,15412,CTY00001,,,,LSX11/24-060,Công đoạn tạo sợi,SOI,,0102125065000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,185,KG,185,0,0,1527,15412,CTY00001,,,,LSX11/24-060,Công đoạn tạo sợi,SOI,,0102125065000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,48,KG,48,0,0,1527,15412,CTY00001,,,,LSX12/24-042,Công đoạn tạo sợi,SOI,,0102109030000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,61,KG,61,0,0,1527,15412,CTY00001,,,,LSX12/24-042,Công đoạn tạo sợi,SOI,,0102109030000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-GL18-4,"Sợi PP, trắng đục, 960D, 2.91mm. [25TC] [No Recycled]",KSO001,KG,744.9,KG,744.9,0,0,15512,15412,CTY00001,,,,LSX12/24-064,Công đoạn tạo sợi,SOI,,HAPHAL057115TRDU,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",KSO001,KG,2627.4,KG,2627.4,0,0,15512,15412,CTY00001,,,,LSX12/24-082,Công đoạn tạo sợi,SOI,,0119109032000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-LU-01,"Sợi PP, trắng đục, 1000D, bản sợi 2.45mm(4kgf).",KSO001,KG,2032.2,KG,2032.2,0,0,15512,15412,CTY00001,,,,LSX12/24-069,Công đoạn tạo sợi,SOI,,TPH055090G108TDLU.XXX,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-LU-01,"Sợi PP, trắng đục, 1000D, bản sợi 2.45mm(4kgf).",KSO001,KG,2316.5,KG,2316.5,0,0,15512,15412,CTY00001,,,,LSX12/24-069,Công đoạn tạo sợi,SOI,,TPH055090G108TDLU.XXX,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",KSO001,KG,2001.9,KG,2001.9,0,0,15512,15412,CTY00001,,,,LSX12/24-042,Công đoạn tạo sợi,SOI,,0102109030000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-MS01-4,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",KSO001,KG,2390,KG,2390,0,0,15512,15412,CTY00001,,,,LSX11/24-060,Công đoạn tạo sợi,SOI,,0102125065000000,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,3138.3,KG,3138.3,0,0,15512,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,676.04,KG,676.04,0,0,15512,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-UNP6-3,"Sợi PP màu đen có UV, 830D, bản sợi 2.4mm [Hạt màu 0030K1]",KSO001,KG,151.76,KG,151.76,0,0,15512,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-UNP6-3,"Sợi PP màu đen có UV, 830D, bản sợi 2.4mm [Hạt màu 0030K1]",KSO001,KG,1831.94,KG,1831.94,0,0,15512,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-004,Nhập báo cáo khâu sợi X01 ngày 02/01/2025,SOI-UNP6-3,"Sợi PP màu đen có UV, 830D, bản sợi 2.4mm [Hạt màu 0030K1]",KSO001,KG,2554.8,KG,2554.8,0,0,15512,15412,CTY00001,,,,LSX12/24-077,Công đoạn tạo sợi,SOI,,01JBO-TU001-06-0001,,2154
TP,1/2/2025,TP01/25-005,Nhập báo cáo SP khâu ó ngày 02/01/2025,SUI-TRANG,Sủi trắng,KNL001,KG,1920,KG,1920,0,0,1521,15411,CTY00001,,,,LSX01/25-011,"Công đoạn tái chế (ó, tạo hạt)",O,,SUI-TRANG,,2112A
TP,1/2/2025,TP01/25-010,Nhập tp hấp ngày 2/1/2025,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",KCU001,M,242.5,KG,2927,0,0,15515,15414,CTY00001,,,,LSX10/24-075,Công đoạn tráng hấp,VAICUON,,0102125067000000,,2155
TP,1/2/2025,TP01/25-010,Nhập tp hấp ngày 2/1/2025,HAPTAU057092TRDU,"Vải cuộn PP, tráng trong, khổ 57.0 cm, mật độ 8.5 x 8, TL 92.15 gr/m, màu trắng đục.",KCU001,M,230.2,KG,2421,0,0,15514,15414,CTY00001,,,,LSX11/24-063,Công đoạn tráng hấp,VAICUON,,THADGTAU057080080095TRDU,,2155
TP,1/2/2025,TP01/25-010,Nhập tp hấp ngày 2/1/2025,HAPTAU057092TRDU,"Vải cuộn PP, tráng trong, khổ 57.0 cm, mật độ 8.5 x 8, TL 92.15 gr/m, màu trắng đục.",KCU001,M,238.2,KG,2492,0,0,15514,15414,CTY00001,,,,LSX11/24-063,Công đoạn tráng hấp,VAICUON,,THADGTAU057080080095TRDU,,2155
TP,1/2/2025,TP01/25-010,Nhập tp hấp ngày 2/1/2025,HAPTAU057092TRDU,"Vải cuộn PP, tráng trong, khổ 57.0 cm, mật độ 8.5 x 8, TL 92.15 gr/m, màu trắng đục.",KCU001,M,236.2,KG,2535,0,0,15514,15414,CTY00001,,,,LSX11/24-063,Công đoạn tráng hấp,VAICUON,,THADGTAU057080080095TRDU,,2155
